transaction_id,user_id,amount,category,merchant,description,transaction_date,transaction_time,payment_method,is_recurring,day_of_week,week_of_month,semester_number,is_academic,created_at,notes
4212ccd9-428e-4fd7-b227-4e06e2464321,USR003,45.96,Transport,Ola,Rapido to friend's hostel,2024-07-01,08:22:26,Cash,False,Monday,1,7,False,2024-07-01T08:22:26,
cb4ea956-8039-44a0-af66-3c52dd0f6043,USR005,187.93,Transport,Rapido,Rapido to friend's hostel,2024-07-01,08:25:18,Credit Card,False,Monday,1,6,False,2024-07-01T08:25:18,
acce62c6-a960-4188-a39e-34e8f595408c,USR007,69.47,Transport,Ola,Auto to coaching class,2024-07-01,10:34:32,Debit Card,False,Monday,1,8,False,2024-07-01T10:34:32,
99fce7ba-7204-4e69-949f-db160c58b876,USR005,5000.0,Bills,Hostel Office,Monthly hostel rent,2024-07-01,11:20:08,Debit Card,True,Monday,1,6,False,2024-07-01T09:00:00,recurring
d466246e-32f5-4bb4-9df8-f9210fd59a72,USR006,4200.0,Bills,Hostel Office,Monthly hostel rent,2024-07-01,12:29:11,UPI,True,Monday,1,1,False,2024-07-01T09:00:00,recurring
5562b56f-d9b2-4168-9911-7c5480cb1d51,USR004,3880.11,Academic,Adobe,Figma subscription,2024-07-01,12:31:33,Debit Card,False,Monday,1,4,True,2024-07-01T12:31:33,semester_start
eab46960-47de-4c06-a710-8f178e8c04b6,USR002,6500.0,Bills,Hostel Office,Monthly hostel rent,2024-07-01,14:10:25,UPI,True,Monday,1,5,False,2024-07-01T09:00:00,recurring
853f8627-868e-4b66-afd0-d88a4c8793c4,USR001,173.66,Food,Local Dhaba,Breakfast from canteen,2024-07-01,14:19:53,UPI,False,Monday,1,3,False,2024-07-01T14:19:53,
9f330b5e-859f-4895-9658-2792dd9420ac,USR006,1054.25,Academic,Campus Bookstore,First semester textbooks,2024-07-01,14:56:07,UPI,False,Monday,1,1,True,2024-07-01T14:56:07,semester_start
5d1ab424-5e09-4828-b6a3-8994c20b4f18,USR001,5942.38,Academic,Lab Fee Office,Lab material purchase,2024-07-01,15:44:35,UPI,False,Monday,1,3,True,2024-07-01T15:44:35,semester_start
ffa87ccc-12eb-408b-bda5-43d1dd95fb58,USR007,6000.0,Bills,Hostel Office,Monthly hostel rent,2024-07-01,15:59:33,UPI,True,Monday,1,8,False,2024-07-01T09:00:00,recurring
6551edef-9091-4f36-b7a1-2fd06bd244ec,USR007,810.81,Bills,BSNL Broadband,Water bill,2024-07-01,16:11:50,Credit Card,False,Monday,1,8,False,2024-07-01T16:11:50,
06e5bad1-be6a-4cd7-af12-93ff0eee9b6a,USR003,3800.0,Bills,Hostel Office,Monthly hostel rent,2024-07-01,17:21:51,UPI,True,Monday,1,7,False,2024-07-01T09:00:00,recurring
1eccd2f2-b980-48c0-b978-6002bd483bf1,USR003,91.88,Transport,InDrive,Ola to railway station,2024-07-02,08:51:31,UPI,False,Tuesday,1,7,False,2024-07-02T08:51:31,
dac7ae11-1e5e-4b35-9ca8-d3f64b01bd7c,USR001,4500.0,Bills,Hostel Office,Monthly hostel rent,2024-07-02,10:01:47,Debit Card,True,Tuesday,1,3,False,2024-07-02T09:00:00,recurring
